Name,Sex,Military/Civilian
"Cameron, Kenneth D.",male,military
"Godwin, Linda M.",female,civilian
"Apt, Jerome",male,civilian
"Hammond, L. Blaine, Jr.",male,military
"Harbaugh, Gregory J.",male,civilian
"McMonagle, Donald R.",male,military
"Veach, Charles Lacy",male,civilian
"Hieb, Richard J.",male,civilian
"Artsebarsky, Anatoly",male,military
Helen Sharman,female,civilian
"Gutierrez, Sidney M.",male,military
"Jernigan, Tamara E.",female,civilian
"Gaffney, Andrew",male,civilian
"Hughes-Fulford, Millie Elizabeth",female,civilian
"Baker, Michael A.",male,military
"Reightler, Kenneth S., Jr.",male,military
"Aubakirov, Toktar",male,military
"Viehbock, Franz",male,civilian
"Henricks, Terence T.",male,military
"Voss, James S.",male,military
"Runco, Mario, Jr.",male,military
"Hennen, Thomas John",male,military
"Oswald, Stephen S.",male,military
"Readdy, William F.",male,civilian
"Bondar, Roberta Lynn",female,civilian
"Kaleri, Aleksandr",male,civilian
"Flade, Klaus-Dietrich",male,military
"Duffy, Brian",male,military
"Foale, C. Michael",male,civilian
"Frimout, David",male,civilian
"Chilton, Kevin P.",male,military
"Bowersox, Kenneth D.",male,military
"DeLucas, Lawrence James",male,civilian
"Trinh, Eugene Huu-Chau",male,civilian
"Avdeyev, Sergei",male,civilian
"Tognini, Michel",male,military
"Allen, Andrew M.",male,military
"Nicollier, Claude",male,civilian
Franco Malerba,male,civilian
"Brown, Curtis L., Jr.",male,military
"Davis, Nancy Jan",female,civilian
"Jemison, Mae C.",female,civilian
"Mohri, Mamoru",male,civilian
Steven MacLean,male,military
"Clifford, Michael R.",male,military
"Helms, Susan J.",female,military
"Poleshchuk, Aleksandr",male,military
"Cockrell, Kenneth D.",male,civilian
"Ochoa, Ellen",female,civilian
"Precourt, Charles J., Jr.",male,military
"Harris, Bernard A., Jr.",male,civilian
"Walter, Ulrich",male,civilian
"Schlegel, Hans",male,civilian
"Currie, Nancy J.",female,military
"Wisoff, Peter J. K.",male,civilian
"Voss, Janice E.",female,civilian
"Tsibliyev, Vasili",male,military
"Haigneré, Jean-Pierre",male,military
"Newman, James H.",male,civilian
"Bursch, Daniel W.",male,military
"Walz, Carl E.",male,military
"Searfoss, Richard A.",male,military
"McArthur, William S., Jr.",male,military
"Wolf, David A.",male,civilian
"Fettman, Martin Joseph",male,civilian
Yuri Vladimirovich Usachyov,male,military
"Sega, Ronald M.",male,civilian
"Jones, Thomas D.",male,civilian
"Malenchenko, Yuri",male,military
"Musabayev, Talgat",male,military
"Halsell, James D., Jr.",male,military
"Chiao, Leroy",male,civilian
"Thomas, Donald A.",male,civilian
"Mukai, Chiaki",female,civilian
"Linenger, Jerry M.",male,military
"Wilcutt, Terrence W.",male,military
"Smith, Steven L.",male,civilian
"Kondakova, Yelena V.",female,civilian
"Tanner, Joseph R.",male,civilian
"Clervoy, Jean-François",male,military
"Parazynski, Scott E.",male,civilian
"Collins, Eileen M.",female,military
"Gregory, William G.",male,military
"Grunsfeld, John M.",male,civilian
"Lawrence, Wendy B.",female,military
