id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
256,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,3,4,MSP,1991,49,STS-39,199,688
257,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,4,4,MSP,1992,50,STS-53,175,688
258,"Gardner, Dale A.",male,1948,U.S.,military,1978,1,2,MSP,1983,35,STS-8,145,336
259,"Gardner, Dale A.",male,1948,U.S.,military,1978,2,2,MSP,1984,36,STS-51A,191,336
260,"Thornton, William E.",male,1929,U.S.,civilian,1967,1,2,MSP,1983,54,STS-8,145,313.26
261,"Thornton, William E.",male,1929,U.S.,civilian,1967,2,2,MSP,1985,56,STS-51-B,169,313.26
262,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,1,3,pilot,1983,38,STS-9,247.75,533.75
263,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,2,3,commander,1985,40,STS-61-B,165,533.75
264,"Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978,3,3,commander,1989,44,STS-28,121,533.75
265,"Parker, Robert A. R.",male,1936,U.S.,civilian,1967,1,2,MSP,1983,47,STS-9,248,463
266,"Parker, Robert A. R.",male,1936,U.S.,civilian,1967,2,2,MSP,1990,54,STS-35,215,463
267,"Lichtenberg, Byron Kurt",male,1948,U.S.,military,1982,1,2,PSP,1983,35,Spacelab 1,247.94,462.31
268,"Lichtenberg, Byron Kurt",male,1948,U.S.,military,1982,2,2,PSP,1992,44,Atlas-1,214.37,462.31
269,"Merbold, Ulf",male,1941,Germany,civilian,1978,1,3,PSP,1983,42,STS-9,248,1197.6
270,"Merbold, Ulf",male,1941,Germany,civilian,1978,2,3,PSP,1992,51,STS-42,193,1197.6
271,"Merbold, Ulf",male,1941,Germany,civilian,1978,3,3,MSP,1994,53,Euromir 94,756.6,1197.6
272,"Gibson, Robert L.",male,1946,U.S.,military,1978,1,5,pilot,1984,38,STS-41-B,191.25,868.13
273,"Gibson, Robert L.",male,1946,U.S.,military,1978,2,5,commander,1986,40,STS-61-C,146,868.13
274,"Gibson, Robert L.",male,1946,U.S.,military,1978,3,5,commander,1988,42,STS-27,105,868.13
275,"Gibson, Robert L.",male,1946,U.S.,military,1978,4,5,commander,1992,46,STS-47,190.5,868.13
276,"Gibson, Robert L.",male,1946,U.S.,military,1978,5,5,commander,1995,49,STS-71,235.38,868.13
277,"McNair, Ronald E.",male,1950,U.S.,civilian,1978,1,2,MSP,1984,34,STS-41-B,191,191
278,"McNair, Ronald E.",male,1950,U.S.,civilian,1978,2,2,MSP,1986,36,STS-51-L,0,191
279,"Stewart, Robert L.",male,1942,U.S.,military,1978,1,2,MSP,1984,42,STS-41 B,191.5,289.2
280,"Stewart, Robert L.",male,1942,U.S.,military,1978,2,2,MSP,1985,43,STS-51 J,97.7,289.2
281,"McCandless, Bruce, II",male,1937,U.S.,military,1966,1,2,MSP,1984,47,STS-41-B,191,312
282,"McCandless, Bruce, II",male,1937,U.S.,military,1966,2,2,MSP,1990,53,STS-31,121,312
283,"Solovyov, Vladimir",male,1946,U.S.S.R/Russia,civilian,1978,1,2,flight engineer,1984,38,Salyut 7,5686,8686.82
284,"Solovyov, Vladimir",male,1946,U.S.S.R/Russia,civilian,1978,2,2,flight engineer,1986,40,1,3000,8686.82
285,"Atkov, Oleg",male,1949,U.S.S.R/Russia,civilian,1983,1,1,MSP,1984,35,Salyut 7,5686,5686.82
286,Rakesh Sharma,male,1949,India,military,1982,1,1,pilot,1984,35,Salyut 7,4365.8,4365.8
287,"Scobee, Francis R.",male,1939,U.S.,military,1978,1,2,pilot,1984,45,STS-41-C,168,168
288,"Scobee, Francis R.",male,1939,U.S.,military,1978,2,2,commander,1986,47,STS-51-L,0,168
289,"Hart, Terry J.",male,1946,U.S.,civilian,1978,1,1,MSP,1984,38,STS-41-C,167.67,167.67
290,"Van Hoften, James D. A.",male,1944,U.S.,civilian,1978,1,2,MSP,1984,40,STS-41 C,167,337.95
291,"Van Hoften, James D. A.",male,1944,U.S.,civilian,1978,2,2,MSP,1985,41,STS-51I,171,337.95
